family,short_name,description,source
RF00001,5S rRNA,5S ribosomal RNA,builtin
RF00002,5.8S rRNA,5.8S ribosomal RNA,builtin
RF00003,U1,U1 spliceosomal RNA,builtin
RF00004,U2,U2 spliceosomal RNA,builtin
RF00005,tRNA,Transfer RNA family,builtin
RF00006,Vault RNA,Vault RNA,builtin
RF00007,RNase P,RNase P RNA,builtin
RF00008,Hammerhead,Hammerhead ribozyme,builtin
RF00009,IRES,Internal ribosome entry site family,builtin
RF00010,Telomerase,Telomerase RNA,builtin
RF00011,SRP,Signal recognition particle RNA,builtin
RF00012,U3,U3 small nucleolar RNA,builtin
RF00013,U4,U4 spliceosomal RNA,builtin
RF00015,U6,U6 spliceosomal RNA,builtin
RF00016,6S,Bacterial 6S RNA,builtin
RF00017,Metazoan SRP,Metazoan signal recognition particle RNA,builtin
RF00018,TmRNA,Transfer-messenger RNA,builtin
RF00019,RF00019,RF00019,fallback
RF00020,RF00020,RF00020,fallback
RF00021,RF00021,RF00021,fallback
RF00022,RF00022,RF00022,fallback
RF00023,RF00023,RF00023,fallback
RF00024,RF00024,RF00024,fallback
RF00026,RF00026,RF00026,fallback
RF00027,RF00027,RF00027,fallback
RF00028,RF00028,RF00028,fallback
RF00029,RF00029,RF00029,fallback
RF00030,RF00030,RF00030,fallback
RF00031,RF00031,RF00031,fallback
RF00032,RF00032,RF00032,fallback
RF00034,RF00034,RF00034,fallback
RF00036,RF00036,RF00036,fallback
RF00037,RF00037,RF00037,fallback
RF00040,RF00040,RF00040,fallback
RF00041,RF00041,RF00041,fallback
RF00042,RF00042,RF00042,fallback
RF00045,RF00045,RF00045,fallback
RF00046,RF00046,RF00046,fallback
RF00047,RF00047,RF00047,fallback
RF00048,RF00048,RF00048,fallback
RF00049,RF00049,RF00049,fallback
RF00050,RF00050,RF00050,fallback
RF00051,RF00051,RF00051,fallback
RF00053,RF00053,RF00053,fallback
RF00054,RF00054,RF00054,fallback
RF00055,RF00055,RF00055,fallback
RF00056,RF00056,RF00056,fallback
RF00057,RF00057,RF00057,fallback
RF00059,RF00059,RF00059,fallback
RF00061,RF00061,RF00061,fallback
RF00066,RF00066,RF00066,fallback
RF00067,RF00067,RF00067,fallback
RF00068,RF00068,RF00068,fallback
RF00069,RF00069,RF00069,fallback
RF00070,RF00070,RF00070,fallback
RF00071,RF00071,RF00071,fallback
RF00072,RF00072,RF00072,fallback
RF00073,RF00073,RF00073,fallback
RF00074,RF00074,RF00074,fallback
